sido,sigungu,year
강원특별자치도,철원군,2020
강원특별자치도,철원군,2021
강원특별자치도,철원군,2022
강원특별자치도,철원군,2023
강원특별자치도,철원군,2024
강원특별자치도,철원군,2025
강원특별자치도,춘천시,2008
강원특별자치도,춘천시,2009
강원특별자치도,춘천시,2010
강원특별자치도,춘천시,2011
강원특별자치도,춘천시,2012
강원특별자치도,춘천시,2013
강원특별자치도,춘천시,2014
강원특별자치도,춘천시,2015
강원특별자치도,춘천시,2016
강원특별자치도,춘천시,2017
강원특별자치도,춘천시,2018
강원특별자치도,춘천시,2019
강원특별자치도,춘천시,2020
강원특별자치도,춘천시,2021
강원특별자치도,춘천시,2022
강원특별자치도,춘천시,2023
강원특별자치도,춘천시,2024
강원특별자치도,춘천시,2025
강원특별자치도,태백시,2008
강원특별자치도,태백시,2009
강원특별자치도,태백시,2010
강원특별자치도,태백시,2011
강원특별자치도,태백시,2012
강원특별자치도,태백시,2013
강원특별자치도,태백시,2014
강원특별자치도,태백시,2015
강원특별자치도,태백시,2016
강원특별자치도,태백시,2017
강원특별자치도,태백시,2018
강원특별자치도,태백시,2019
강원특별자치도,태백시,2020
강원특별자치도,태백시,2021
강원특별자치도,태백시,2022
강원특별자치도,태백시,2023
강원특별자치도,태백시,2024
강원특별자치도,태백시,2025
강원특별자치도,평창군,2008
강원특별자치도,평창군,2009
강원특별자치도,평창군,2010
강원특별자치도,평창군,2011
강원특별자치도,평창군,2012
강원특별자치도,평창군,2013
강원특별자치도,평창군,2014
강원특별자치도,평창군,2015
강원특별자치도,평창군,2016
강원특별자치도,평창군,2017
강원특별자치도,평창군,2018
강원특별자치도,평창군,2019
강원특별자치도,평창군,2020
강원특별자치도,평창군,2021
강원특별자치도,평창군,2022
강원특별자치도,평창군,2023
강원특별자치도,평창군,2024
강원특별자치도,평창군,2025
강원특별자치도,홍천군,2008
강원특별자치도,홍천군,2009
강원특별자치도,홍천군,2010
강원특별자치도,홍천군,2011
강원특별자치도,홍천군,2012
강원특별자치도,홍천군,2013
강원특별자치도,홍천군,2014
강원특별자치도,홍천군,2015
강원특별자치도,홍천군,2016
강원특별자치도,홍천군,2017
강원특별자치도,홍천군,2018
강원특별자치도,홍천군,2019
강원특별자치도,홍천군,2020
강원특별자치도,홍천군,2021
강원특별자치도,홍천군,2022
강원특별자치도,홍천군,2023
강원특별자치도,홍천군,2024
강원특별자치도,홍천군,2025
강원특별자치도,화천군,2008
강원특별자치도,화천군,2009
강원특별자치도,화천군,2010
강원특별자치도,화천군,2011
강원특별자치도,화천군,2012
강원특별자치도,화천군,2013
강원특별자치도,화천군,2014
강원특별자치도,화천군,2015
강원특별자치도,화천군,2016
강원특별자치도,화천군,2017
강원특별자치도,화천군,2018
강원특별자치도,화천군,2019
강원특별자치도,화천군,2020
강원특별자치도,화천군,2021
강원특별자치도,화천군,2022
강원특별자치도,화천군,2023
강원특별자치도,화천군,2024
강원특별자치도,화천군,2025
강원특별자치도,횡성군,2008
강원특별자치도,횡성군,2009
강원특별자치도,횡성군,2010
강원특별자치도,횡성군,2011
강원특별자치도,횡성군,2012
강원특별자치도,횡성군,2013
강원특별자치도,횡성군,2014
강원특별자치도,횡성군,2015
강원특별자치도,횡성군,2016
강원특별자치도,횡성군,2017
강원특별자치도,횡성군,2018
강원특별자치도,횡성군,2019
강원특별자치도,횡성군,2020
강원특별자치도,횡성군,2021
강원특별자치도,횡성군,2022
강원특별자치도,횡성군,2023
강원특별자치도,횡성군,2024
강원특별자치도,횡성군,2025
경기도,가평군,2008
경기도,가평군,2009
경기도,가평군,2010
경기도,가평군,2011
경기도,가평군,2012
경기도,가평군,2013
경기도,가평군,2014
경기도,가평군,2015
경기도,가평군,2016
경기도,가평군,2017
경기도,가평군,2018
경기도,가평군,2019
경기도,가평군,2020
경기도,가평군,2021
경기도,가평군,2022
경기도,가평군,2023
경기도,가평군,2024
경기도,가평군,2025
경기도,고양시,2008
경기도,고양시,2009
경기도,고양시,2010
경기도,고양시,2011
경기도,고양시,2012
경기도,고양시,2013
경기도,고양시,2014
경기도,고양시,2015
경기도,고양시,2016
경기도,고양시,2017
경기도,고양시,2018
경기도,고양시,2019
경기도,고양시,2020
경기도,고양시,2021
경기도,고양시,2022
경기도,고양시,2023
경기도,고양시,2024
경기도,고양시,2025
경기도,과천시,2008
경기도,과천시,2009
