sgg_code10,sgis7_2019,yyyymm,sido_e9,sigungu_e9,sido_name,sigungu_name,sido_pop,sigungu_pop,sido_trade,sigungu_trade,present_e9,present_pop,present_trade
11170,1103000,202401,서울특별시,용산구,서울특별시,용산구,서울특별시,용산구,서울특별시,용산구,1,1,1
11170,1103000,202501,서울특별시,용산구,서울특별시,용산구,서울특별시,용산구,서울특별시,용산구,1,1,1
11200,1104000,200901,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,1,1,1
11200,1104000,201001,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,1,1,1
11200,1104000,201101,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,1,1,1
11200,1104000,201201,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,1,1,1
11200,1104000,201301,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,1,1,1
11200,1104000,201401,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,1,1,1
11200,1104000,201501,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,1,1,1
11200,1104000,201601,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,1,1,1
11200,1104000,201701,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,1,1,1
11200,1104000,201801,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,1,1,1
11200,1104000,201901,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,1,1,1
11200,1104000,202001,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,1,1,1
11200,1104000,202101,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,1,1,1
11200,1104000,202201,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,1,1,1
11200,1104000,202301,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,1,1,1
11200,1104000,202401,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,1,1,1
11200,1104000,202501,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,서울특별시,성동구,1,1,1
11215,1105000,200901,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,1,1,1
11215,1105000,201001,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,1,1,1
11215,1105000,201101,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,1,1,1
11215,1105000,201201,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,1,1,1
11215,1105000,201301,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,1,1,1
11215,1105000,201401,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,1,1,1
11215,1105000,201501,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,1,1,1
11215,1105000,201601,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,1,1,1
11215,1105000,201701,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,1,1,1
11215,1105000,201801,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,1,1,1
11215,1105000,201901,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,1,1,1
11215,1105000,202001,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,1,1,1
11215,1105000,202101,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,1,1,1
11215,1105000,202201,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,1,1,1
11215,1105000,202301,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,1,1,1
11215,1105000,202401,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,1,1,1
11215,1105000,202501,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,서울특별시,광진구,1,1,1
11230,1106000,200901,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,1,1,1
11230,1106000,201001,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,1,1,1
11230,1106000,201101,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,1,1,1
11230,1106000,201201,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,1,1,1
11230,1106000,201301,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,1,1,1
11230,1106000,201401,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,1,1,1
11230,1106000,201501,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,1,1,1
11230,1106000,201601,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,1,1,1
11230,1106000,201701,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,1,1,1
11230,1106000,201801,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,1,1,1
11230,1106000,201901,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,1,1,1
11230,1106000,202001,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,1,1,1
11230,1106000,202101,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,1,1,1
11230,1106000,202201,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,1,1,1
11230,1106000,202301,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,1,1,1
11230,1106000,202401,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,1,1,1
11230,1106000,202501,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,서울특별시,동대문구,1,1,1
11260,1107000,200901,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,1,1,1
11260,1107000,201001,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,1,1,1
11260,1107000,201101,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,1,1,1
11260,1107000,201201,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,1,1,1
11260,1107000,201301,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,1,1,1
11260,1107000,201401,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,1,1,1
11260,1107000,201501,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,1,1,1
11260,1107000,201601,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,1,1,1
11260,1107000,201701,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,1,1,1
11260,1107000,201801,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,1,1,1
11260,1107000,201901,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,1,1,1
11260,1107000,202001,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,1,1,1
11260,1107000,202101,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,1,1,1
11260,1107000,202201,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,1,1,1
11260,1107000,202301,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,1,1,1
11260,1107000,202401,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,1,1,1
11260,1107000,202501,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,서울특별시,중랑구,1,1,1
11290,1108000,200901,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,1,1,1
11290,1108000,201001,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,1,1,1
11290,1108000,201101,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,1,1,1
11290,1108000,201201,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,1,1,1
11290,1108000,201301,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,1,1,1
11290,1108000,201401,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,1,1,1
11290,1108000,201501,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,1,1,1
11290,1108000,201601,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,1,1,1
11290,1108000,201701,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,1,1,1
11290,1108000,201801,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,1,1,1
11290,1108000,201901,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,1,1,1
11290,1108000,202001,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,1,1,1
11290,1108000,202101,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,1,1,1
11290,1108000,202201,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,1,1,1
11290,1108000,202301,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,1,1,1
11290,1108000,202401,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,1,1,1
11290,1108000,202501,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,서울특별시,성북구,1,1,1
11305,1109000,200901,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,1,1,1
11305,1109000,201001,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,1,1,1
11305,1109000,201101,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,1,1,1
11305,1109000,201201,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,1,1,1
11305,1109000,201301,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,1,1,1
11305,1109000,201401,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,1,1,1
11305,1109000,201501,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,1,1,1
11305,1109000,201601,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,1,1,1
11305,1109000,201701,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,1,1,1
11305,1109000,201801,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,1,1,1
11305,1109000,201901,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,1,1,1
11305,1109000,202001,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,1,1,1
11305,1109000,202101,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,1,1,1
11305,1109000,202201,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,1,1,1
11305,1109000,202301,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,1,1,1
11305,1109000,202401,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,1,1,1
11305,1109000,202501,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,서울특별시,강북구,1,1,1
