시도,시군구,E9_총계,연도,월
서울특별시,중랑구,223,2009,6
울산광역시,남구,363,2009,6
울산광역시,동구,812,2009,6
울산광역시,북구,746,2009,6
울산광역시,울주군,1958,2009,6
울산광역시,중구,40,2009,6
인천광역시,강화군,115,2009,6
인천광역시,계양구,449,2009,6
인천광역시,남구,656,2009,6
인천광역시,남동구,5432,2009,6
인천광역시,동구,266,2009,6
인천광역시,부평구,1035,2009,6
인천광역시,서구,5356,2009,6
인천광역시,연수구,368,2009,6
인천광역시,옹진군,31,2009,6
인천광역시,중구,133,2009,6
전라남도,강진군,42,2009,6
전라남도,고흥군,81,2009,6
전라남도,곡성군,156,2009,6
전라남도,광양시,215,2009,6
전라남도,구례군,20,2009,6
전라남도,나주시,397,2009,6
전라남도,담양군,215,2009,6
전라남도,목포시,218,2009,6
전라남도,무안군,228,2009,6
전라남도,보성군,209,2009,6
전라남도,순천시,255,2009,6
전라남도,신안군,109,2009,6
전라남도,여수시,401,2009,6
전라남도,영광군,67,2009,6
전라남도,영암군,1802,2009,6
전라남도,완도군,53,2009,6
전라남도,장성군,418,2009,6
전라남도,장흥군,67,2009,6
전라남도,진도군,14,2009,6
전라남도,함평군,160,2009,6
전라남도,해남군,142,2009,6
전라남도,화순군,196,2009,6
전라북도,고창군,104,2009,6
전라북도,군산시,736,2009,6
전라북도,김제시,484,2009,6
전라북도,남원시,158,2009,6
전라북도,무주군,9,2009,6
전라북도,부안군,102,2009,6
전라북도,순창군,17,2009,6
전라북도,완주군,365,2009,6
전라북도,익산시,631,2009,6
전라북도,임실군,192,2009,6
전라북도,장수군,59,2009,6
전라북도,전주시 덕진구,149,2009,6
전라북도,전주시 완산구,31,2009,6
전라북도,정읍시,407,2009,6
전라북도,진안군,20,2009,6
제주특별자치도,서귀포시,425,2009,6
제주특별자치도,제주시,513,2009,6
충청남도,계룡시,13,2009,6
충청남도,공주시,262,2009,6
충청남도,금산군,263,2009,6
충청남도,논산시,689,2009,6
충청남도,당진군,1272,2009,6
충청남도,보령시,459,2009,6
충청남도,부여군,207,2009,6
충청남도,서산시,534,2009,6
충청남도,서천군,274,2009,6
충청남도,아산시,2711,2009,6
충청남도,연기군,564,2009,6
충청남도,예산군,479,2009,6
