연도,반기,지역코드,구인인원,채용인원,미충원인원,현원,부족인원,채용계획인원
2009,상반기,11,8697.516238926022,6293.995530040964,0.0,252940.32951574383,7457.3988936707565,6914.781855996779
2009,상반기,21,4073.6189595552755,3276.9974876373035,0.0,139744.26038066513,3206.7020623293474,2974.525654864573
2009,상반기,22,3036.401064013505,2381.780551423893,0.0,103392.02093300628,3281.4801829989788,2365.8240410915932
2009,상반기,23,7025.698105448111,4385.10756426539,0.0,180006.9710072465,5211.9287032682,4605.598034537386
2009,상반기,24,1349.5780926186683,1027.0594483783234,0.0,57217.665717951764,1470.1869598328783,1302.641138187842
2009,상반기,25,1094.3392577880823,864.1697424113003,0.0,35768.95346440451,885.5098646575793,706.65669917698
2009,상반기,26,1821.2381868731109,1364.9283525240876,0.0,139466.97026177615,1153.1691947824233,1112.1583119050565
2009,상반기,31,41977.7622397232,30123.316350208428,0.0,787552.5625519847,33475.03010915339,30504.269237339784
2009,상반기,32,1322.5391706824448,862.8049395461373,0.0,28569.80535615673,1068.5977016312524,1048.2259615088196
2009,상반기,33,5019.349811247077,3768.322310499943,0.0,114300.58031255285,3307.4327659942373,2549.0135365161877
2009,상반기,34,4440.162236084689,3403.1900619467974,0.0,171304.56988624576,4314.888651449521,3670.79189285188
2009,상반기,35,2189.299964350242,1262.5546630154843,0.0,66947.80796703137,2986.2799476309665,2412.478748060746
2009,상반기,36,2077.8706924601347,1532.0876931013624,0.0,64183.42711850473,1282.1792001195704,1633.1783524548025
2009,상반기,37,7314.4724459064555,5378.578304094591,0.0,216608.55022965433,5400.470693743477,4641.38066903942
2009,상반기,38,10023.158246185945,7334.162635980295,0.0,319917.70478265686,7959.085575671649,7190.90363142779
2009,상반기,39,294.0515855288488,183.83907056814135,0.0,4306.089532113792,229.75511432855745,209.76221577131892
2009,하반기,11,12627.32245105083,9803.856198820393,0.0,255757.54510117558,9056.825785019822,8796.238190390286
2009,하반기,21,6320.3952817505815,4635.082187589905,0.0,141978.316804306,4308.344987786589,4174.907804502431
2009,하반기,22,5720.218714432077,4489.2068074739245,0.0,105255.71325316046,4108.429281634654,3989.8059623883437
2009,하반기,23,9161.37581803948,6557.313746525738,0.0,180091.0799015834,6071.706212561038,6141.096916275043
2009,하반기,24,2703.591913281356,2062.0647510872723,0.0,56678.52849441354,2199.796860433983,2169.6478440927503
2009,하반기,25,1488.0982755758519,1114.888907409316,0.0,35299.45788126806,1135.8676013247364,965.2907159793234
2009,하반기,26,2997.030800862505,2610.681466343875,0.0,134673.91559824094,1652.6317176156986,1468.6887802339131
2009,하반기,31,45461.93873801362,30872.32224289447,0.0,799140.1531781395,36386.27197187816,39816.96272052096
2009,하반기,32,1465.4939570620916,1186.7291019870283,0.0,28523.68598659165,1187.8344978048474,1030.775317262345
2009,하반기,33,6525.3448475347595,5295.3195587040545,0.0,114928.4664925898,4330.010912638184,4315.127724253206
2009,하반기,34,9264.542625468468,7666.710707643585,0.0,170257.83979908118,5767.06615114333,5410.228582450668
2009,하반기,35,3651.4591004070244,3074.8605036443632,0.0,66558.24752971734,2450.1802031103457,2391.355105546516
2009,하반기,36,2475.0392263794165,1932.37895812447,0.0,64312.51512785481,1974.4309051788996,1841.833610037869
2009,하반기,37,11763.182189628204,8705.868841748937,0.0,215159.30707137968,8865.077639353889,9745.275502633098
2009,하반기,38,14679.95275592587,11959.081668587072,0.0,320714.5194131598,8212.181519019452,7857.75685459801
2009,하반기,39,239.56131350003187,182.76649399131364,0.0,4204.19088989497,218.5077025307634,201.97848987707286
2010,상반기,11,9645.227873030086,7110.3777015480955,0.0,143994.9454404195,6970.379081395894,6691.7169074795875
2010,상반기,21,8045.251838124865,6579.48533060432,0.0,135328.43958582182,3860.3426993314056,3825.3142587211473
2010,상반기,22,7138.0277818091945,5309.062778491155,0.0,102268.80654317657,5123.444089351683,5194.686217186954
2010,상반기,23,10455.526265156186,7730.370622856586,0.0,172356.7824602214,7559.707169012015,7163.042524193147
2010,상반기,24,3303.1364858399406,2478.785051745895,0.0,60082.39656957362,2150.024249769417,2142.300811909894
2010,상반기,25,1614.7426603698823,1129.9872573047805,0.0,38076.91311700507,1164.1006707618503,1070.5030150071257
2010,상반기,26,3589.437607202588,2822.8371923790487,0.0,141013.089641663,2872.732577211465,2637.784911875239
2010,상반기,31,67835.38363153883,44554.69032814244,0.0,812269.5209820116,53159.279384550675,52269.646944366235
2010,상반기,32,2395.6787154206304,1548.9338674116802,0.0,30241.711293576554,1958.1597099447854,1939.8134845544455
2010,상반기,33,9909.605020023575,6800.894424202105,0.0,124182.62759288489,5825.539959066909,6027.136129842509
2010,상반기,34,10798.462523986309,8638.42826367597,0.0,189561.18745370104,7000.319088240342,7308.657622258698
2010,상반기,35,4009.629032145359,2840.6627210096594,0.0,79477.91626296802,2490.6785630235236,2514.8656029320687
2010,상반기,36,3089.660540855459,2437.301899523713,0.0,70829.96203019904,2264.685735108921,2038.2866318524425
2010,상반기,37,12047.05623320315,8841.806733860854,0.0,229557.86044826388,8807.921661616514,9430.000648803702
2010,상반기,38,21261.636168866044,14490.582807127368,0.0,334849.7894850389,13156.812054423599,13317.28845090577
2010,상반기,39,394.60174548676,298.3560112039933,0.0,4588.713632146751,477.9520748858322,596.5855955761252
2010,하반기,11,8180.901003223861,6757.262649070574,0.0,147890.6421403391,5000.152992100096,4473.99472033343
2010,하반기,21,6773.189416182285,4578.811358330915,0.0,139299.79930731282,4752.565466574993,4781.982778462074
